      Input ;         Obje;     RA     ;    Dec     ;Redshift 
IC1481      ;IC 1481      ;23h19m25.12s;+05d54m22.2s; 0.020331
NGC2778     ;NGC 2778     ;09h12m24.38s;+35d01m39.2s; 0.006835
NGC3607     ;NGC 3607     ;11h16m54.67s;+18d03m06.4s; 0.003102
NGC4261     ;NGC 4261     ;12h19m23.22s;+05d49m29.7s; 0.007261
NGC4459     ;NGC 4459     ;12h29m00.04s;+13d58m42.9s; 0.003976
NGC6251     ;NGC 6251     ;16h32m31.97s;+82d32m16.4s; 0.024710
NGC7052     ;NGC 7052     ;21h18m33.04s;+26d26m49.2s; 0.015584
A1836BC     ;ABELL 1836   ;14h01m40.61s;-11d36m27.0s; 0.037609
A3565BC     ;IC 4296;13h36m39.03s;-33d57m57.1s; 0.012465
CygnusA     ;Cygnus A     ;19h59m28.36s;+40d44m02.1s; 0.056200
NGC2974     ;NGC 2974     ;09h42m33.29s;-03d41m56.9s; 0.006294
NGC3079     ;NGC 3079     ;10h01m57.93s;+55d40m46.9s; 0.003689
NGC3414     ;NGC 3414     ;10h51m16.22s;+27d58m30.3s; 0.004903
NGC4151     ;NGC 4151     ;12h10m32.58s;+39d24m21.1s; 0.003326
NGC4552     ;MESSIER 089  ;12h35m39.81s;+12d33m22.8s; 0.001134
NGC4596     ;NGC 4596     ;12h39m55.95s;+10d10m34.3s; 0.006311
NGC5813     ;NGC 5813     ;15h01m11.24s;+01d42m07.1s; 0.006525
NGC5846     ;NGC 5846     ;15h06m29.23s;+01d36m22.6s; 0.005711
NGC0307     ;NGC 0307     ;00h56m32.57s;-01d46m19.1s; 0.013026
NGC1398     ;NGC 1398     ;03h38m52.06s;-26d20m15.6s; 0.004657
NGC3627     ;MESSIER 066  ;11h20m15.01s;+12d59m29.8s; 0.002408
NGC3923     ;NGC 3923     ;11h51m01.71s;-28d48m21.4s; 0.005801
NGC4371     ;NGC 4371     ;12h24m55.43s;+11d42m15.0s; 0.003112
NGC4501     ;MESSIER 088  ;12h31m59.17s;+14d25m13.0s; 0.007619
NGC4699     ;NGC 4699     ;12h49m02.18s;-08d39m51.9s; 0.004650
NGC5018     ;NGC 5018     ;13h13m01.05s;-19d31m05.5s; 0.009393
NGC5419     ;NGC 5419     ;14h03m38.73s;-33d58m41.8s; 0.013763
