M31
M81
NGC524
NGC821
NGC1023
NGC1194
NGC1277
NGC2549
NGC3115
NGC3245
NGC3585
NGC3998
NGC4026
NGC4258
NGC4342
NGC4526
NGC4564
NGC4594
NGC7457
MilkyWay
Circinus
NGC1068
NGC1300
NGC2273
NGC2748
NGC2787
NGC3227
NGC3368
NGC3384
NGC3393
NGC3489
NGC3945
NGC4388
NGC4736
NGC4826
NGC4945
NGC6264
NGC6323
NGC7582
IC2560
UGC3789
M32
NGC1332
NGC1374
NGC1399
NGC1407
NGC1550
NGC3091
NGC3377
NGC3379
NGC3608
NGC3842
NGC4291
NGC4374
NGC4472
NGC4473
M87
NGC4486
NGC4486
NGC4649
NGC4697
NGC4751
NGC4889
NGC5077
NGC5328
NGC5516
NGC5576
NGC5845
NGC6086
NGC6861
NGC7619
NGC7768
IC1459
NGC1316
NGC2960
NGC4382
NGC5128
IC1481
NGC2778
NGC3607
NGC4261
NGC4459
NGC6251
NGC7052
A1836BC
A3565BC
CygnusA
A1836
IC4296
NGC2974
NGC3079
NGC3414
NGC4151
NGC4552
NGC4596
NGC5813
NGC5846
NGC0307
NGC1398
NGC3627
NGC3923
NGC4371
NGC4501
NGC4699
NGC5018
NGC5419
